348,21,4,9,14-FEB-19,14-FEB-19,14-FEB-19
349,21,5,10,02-JUL-19,02-JUL-19,02-JUL-19
350,21,6,7,11-JUL-19,11-JUL-19,11-JUL-19
351,21,7,10,05-JUL-19,05-JUL-19,05-JUL-19
352,21,8,4,30-JUN-19,30-JUN-19,30-JUN-19
353,22,1,6,11-FEB-17,11-FEB-17,11-FEB-17
354,22,2,8,20-FEB-17,20-FEB-17,20-FEB-17
355,22,3,6,11-FEB-17,11-FEB-17,11-FEB-17
356,22,4,9,19-FEB-17,19-FEB-17,19-FEB-17
357,22,5,7,08-JUL-17,08-JUL-17,08-JUL-17
358,22,6,5,08-JUL-17,08-JUL-17,08-JUL-17
359,22,7,6,02-JUL-17,02-JUL-17,02-JUL-17
360,22,8,5,01-JUL-17,01-JUL-17,01-JUL-17
361,22,9,6,13-FEB-18,13-FEB-18,13-FEB-18
362,22,10,6,23-FEB-18,23-FEB-18,23-FEB-18
363,22,11,4,21-FEB-18,21-FEB-18,21-FEB-18
364,22,12,8,19-FEB-18,19-FEB-18,19-FEB-18
365,22,13,6,03-JUL-18,03-JUL-18,03-JUL-18
366,22,14,5,02-JUL-18,02-JUL-18,02-JUL-18
367,22,15,8,01-JUL-18,01-JUL-18,01-JUL-18
368,22,16,4,02-JUL-18,02-JUL-18,02-JUL-18
369,22,17,7,19-FEB-19,19-FEB-19,19-FEB-19
370,22,18,9,22-FEB-19,22-FEB-19,22-FEB-19
371,22,19,7,17-FEB-19,17-FEB-19,17-FEB-19
372,22,20,7,18-FEB-19,18-FEB-19,18-FEB-19
373,22,21,6,30-JUN-19,30-JUN-19,30-JUN-19
374,22,22,5,01-JUL-19,01-JUL-19,01-JUL-19
375,22,23,6,09-JUL-19,09-JUL-19,09-JUL-19
376,22,24,6,01-JUL-19,01-JUL-19,01-JUL-19
377,23,1,9,13-FEB-18,13-FEB-18,13-FEB-18
378,23,2,5,10-FEB-18,10-FEB-18,10-FEB-18
379,23,3,9,23-FEB-18,23-FEB-18,23-FEB-18
380,23,4,6,21-FEB-18,21-FEB-18,21-FEB-18
381,23,5,10,11-JUL-18,11-JUL-18,11-JUL-18
382,23,6,5,12-JUL-18,12-JUL-18,12-JUL-18
383,23,7,9,02-JUL-18,02-JUL-18,02-JUL-18
384,23,8,6,13-JUL-18,13-JUL-18,13-JUL-18
385,23,9,7,12-FEB-19,12-FEB-19,12-FEB-19
